Topic,Sentiment,tweet,tidy_tweet
amy schumer,0,@MargaretsBelly Amy Schumer is the stereotypical 1st world Laci Green feminazi. Plus she's unfunny,amy schumer stereotypical world laci green feminazi plus unfunny
amy schumer,0,@dani_pitter I mean I get the hype around JLaw. I may not like her but I get her hype. I just don't understand Amy Schumer and her hype,mean get hype around jlaw may not like get hype understand amy schumer hype
amy schumer,0,Amy Schumer at the #GQmenoftheyear2015 party in a dress we pretty much hate: https://t.co/j5HmmyM99j #GQMOTY2015 https://t.co/V8xzmPmPYX,amy schumer gqmenoftheyear party dress pretty much hate gqmoty
amy schumer,0,Amy Schumer is on Sky Atlantic doing one of the worst stand up sets I have ever seen. And I've almost sat through 30 seconds of Millican.,amy schumer sky atlantic one worst stand set ever seen and i've almost sat second millican
amy schumer,0,"Amy Schumer may have brought us Trainwreck, but that word just got redefined on #TheVoice.",amy schumer may brought trainwreck word got redefined thevoice
amy schumer,0,I just think that sports are stupid &amp;anyone who likes them is a lesser person &amp; has a small intellect- Amy Schumer https://t.co/fdjWKKG5AR,think sport stupid amp anyone like lesser person amp small intellect amy schumer
amy schumer,0,"If you do like Amy Schumer, I hope you went &amp; saw her Saturday bc after this ridiculousness, I highly doubt Maine will be on list of faves.",like amy schumer hope went amp saw saturday ridiculousness highly doubt maine list faves
amy schumer,0,"People are like, ""Amy Schumer? I don't like her, she's fat.""  And I'm all like Ralphie May is fatter, and I don't... https://t.co/p0euQA7Tww",people like amy schumer like fat and i'm like ralphie may fatter
amy schumer,0,"Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it",seriously though somebody posted amy schumer woman crush wednesday instagram amp almost went not worth
amy schumer,0,They may be mean but I guess they're not stupid...free TED but you have to pay for Amy Schumer - most unimpressed. https://t.co/BrdeiudNJd,they may mean guess they're not stupid free ted pay amy schumer unimpressed
amy schumer,0,This Amy Schumer segment is now old news about 2 days too late...good producer would have had it on Monday @localmemphis #Local24 #LML,this amy schumer segment old news day late good producer would monday local lml
amy schumer,0,WARNING: This may not safe for work. But Mojo &amp; AC just found out about some new Amy Schumer leaked nudes! https://t.co/NqaArdKrl2,warning this may not safe work but mojo amp found new amy schumer leaked nude
amy schumer,0,if I have to read another article about how Amy Schumer is a feminist icon I'm going to fucking toss myself into the sun,read another article amy schumer feminist icon i'm going fucking toss sun
amy schumer,1,"#SNL Well it's a good thing I stumbled upon Maya Rudolph, Amy Schumer, Paul McCartney &amp; Bruce's 3rd # after #ROH10man. #Cheeseburger #KGET",snl well good thing stumbled upon maya rudolph amy schumer paul mccartney amp bruce roh man cheeseburger kget
amy schumer,1,'Amy Schumer' appeared on Monday 30 at the 13th place in the Top20 of Los Angeles's Trends: https://t.co/ykhfqbyfoW #trndnl,'amy schumer' appeared monday place top los angeles trends trndnl
amy schumer,1,...1st of all this is Amy Schumer and she's funnier and hotter than you will ever be 2nd of all shut the fuck up https://t.co/3DppK3M9Kk,amy schumer funnier hotter ever shut fuck
amy schumer,1,41 Amy Schumer quotes to get you through Wednesday (she's pretty badass) https://t.co/ZafHRVOXJ2 https://t.co/iuKYinDDIp,amy schumer quote get wednesday pretty badass
amy schumer,1,AMY SCHUMER TICKETS STILL AVAILABLE for SUNDAY's SHOW at Kent State!! Go to the https://t.co/BEiJQTSqzn website! https://t.co/IIuIxWfUkW,amy schumer tickets still available sunday show kent state website
amy schumer,1,Actress and comedian Amy Schumer shared an intimate portrait on Monday that it will not quickly be forgotten.,actress comedian amy schumer shared intimate portrait monday not quickly forgotten
amy schumer,1,Amy Schumer and Jerry Seinfeld headline a show in support of the 15th anniversary of Baby Buggy https://t.co/mcBWyZ8Ezp via @WSJ,amy schumer jerry seinfeld headline show support anniversary baby buggy via
amy schumer,1,Amy Schumer will be here Friday &amp; I want to go!,amy schumer friday amp want
amy schumer,1,Amy Schumer's honest post may actually inspire you to strip down: https://t.co/oMfZyRZzTd https://t.co/vwnlJUbIiK,amy schumer honest post may actually inspire strip
amy schumer,1,"And my toughest final is tomorrow, it's cumulative, and I've been watching Amy Schumer and the office all night instead of studying",and toughest final tomorrow cumulative i've watching amy schumer office night instead studying
amy schumer,1,Can't wait to see Amy Schumer with @_stephaniefrey_ tomorrow!,ca not wait see amy schumer tomorrow
amy schumer,1,"Demi Lovato Praises Amy Schumer On 2016 Pirelli Calendar Photo: On Thursday night, the comedian spoke ... https://t.co/0W91oDlx3n #lovato",demi lovato praises amy schumer pirelli calendar photo thursday night comedian spoke lovato
amy schumer,1,Did you know that 'Amy Schumer' was Trending Topic on Monday 30 for 4 hours in United States? https://t.co/hEkuLcyKBj #trndnl,did know 'amy schumer' trending topic monday hour united states trndnl
amy schumer,1,"Done with AHS till Wednesday &amp; finished inside Amy Schumer, now what?",done ahs till wednesday amp finished inside amy schumer
amy schumer,1,"For those that wanna see Inside Amy Schumer's Golden Globes , it may happen! #cantwait https://t.co/3P2aTZQXYe",for wanna see inside amy schumer golden globes may happen cantwait
amy schumer,1,"From my 2nd family, Katherine M., a student in NYC, got an internship with Amy Schumer...now that's cool.",from family katherine student nyc got internship amy schumer that cool
amy schumer,1,Going to see Amy schumer in Nashville tonight. But don't worry I got your epl plays over on @RotoGrinders https://t.co/Ke5OUvCJC4,going see amy schumer nashville tonight but worry got epl play
amy schumer,1,I get to see Amy Schumer live tomorrow. I'm literally the luckiest girl on planet earth,get see amy schumer live tomorrow i'm literally luckiest girl planet earth
amy schumer,1,I just want it to be Saturday so Amy Schumer can make me laugh and feel good about my life compared to hers.,want saturday amy schumer make laugh feel good life compared
amy schumer,1,"I think I may have just fell in love with @amyschumer after watching ""Amy Schumer: Live...Extended Cut"" on @hbonow.",think may fell love watching amy schumer live extended cut
amy schumer,1,"I'm just really excited for my comedy filled day tomorrow... Amy Schumer live AND John Mulaney on Netflix?! Thank you, America.",i'm really excited comedy filled day tomorrow amy schumer live and john mulaney netflix thank america
amy schumer,1,Inside Amy Schumer is scorching its merry way back onto @ComedyCentralUK in the new year. S3 begins on Jan 11 at 11pm. (S2 still on demand.),inside amy schumer scorching merry way back onto new year begin jan still demand
amy schumer,1,It was a WILD night at @JazzStLouis Jazz at the Bistro. Amy Schumer &amp; cast dug our 2nd set &amp; had a comedy jam- Epic! https://t.co/CrE5Z3e2pr,wild night jazz bistro amy schumer amp cast dug set amp comedy jam epic
amy schumer,1,"Kerry Washington, Viola Davis, Amy Schumer and Jill Soloway all make @THR power 100 list for 1st time. #changingtheworld",kerry washington viola davis amy schumer jill soloway make power list time changingtheworld
amy schumer,1,Kind of equally excited at staying in watching The Soup finale tonight as I am for going out to see Amy Schumer tomorrow. Well...kind of,kind equally excited staying watching the soup finale tonight going see amy schumer tomorrow well kind
amy schumer,1,On Saturday Night Live set today with Amy Schumer! https://t.co/TukAF6unNx,saturday night live set today amy schumer
amy schumer,1,"One of the 1st jokes from the hilarious Amy Schumer at @TWCArena: ""If anybody thought they were seeing 'Godspell' tonight, maybe exit left.""",one joke hilarious amy schumer anybody thought seeing 'godspell' tonight maybe exit left
amy schumer,1,Outrageously funny: Amy Schumer plays Mohegan Sun tonight https://t.co/mDuaBrmTSe via @thedayct,outrageously funny amy schumer play mohegan sun tonight via
amy schumer,1,"PGA Awards TV Nominations Include Better Call Saul, Mad Men and Inside Amy Schumer: On Tuesday, the ... https://t.co/y6iI4r32vu #tvupdate",pga awards nominations include better call saul mad men inside amy schumer tuesday tvupdate
amy schumer,1,PHOTOS: Beautiful! Selena presenting Amy Schumer with an award at the 19th Annual Hollywood Film Awards! https://t.co/cMZxZJdUnH,photos beautiful selena presenting amy schumer award annual hollywood film awards
amy schumer,1,Saw TRAINWRECK for the 2nd time &amp; again found it &amp; Amy Schumer brilliant as was the screenplay she wrote. Mel Brooks agreed.100%,saw trainwreck time amp found amp amy schumer brilliant screenplay wrote mel brooks agreed
amy schumer,1,Selena Gomez presented Amy Schumer with an award and a heap of praise at the Hollywood Film Awards on November 1.,selena gomez presented amy schumer award heap praise hollywood film awards november
amy schumer,1,"Selena Gomez, Amy Schumer Get Cuddly on the Red Carpet: See the Cuteness Here!:  https://t.co/6woDJnSw2T #Videos #May",selena gomez amy schumer get cuddly red carpet see cuteness here videos may
amy schumer,1,Some may find it tragic that I'm sat alone watching Amy Schumer and eating Ben and Jerries but personally I feel no shame,some may find tragic i'm sat alone watching amy schumer eating ben jerries personally feel shame
amy schumer,1,The only reason I keep going is that I get to see Amy schumer in June,the reason keep going get see amy schumer june
amy schumer,1,"Watching ""Trainwreck"" for the 2nd time with my girls. Hilarious!!! Love Amy Schumer! #Trainwreck #JohnCena #AmySchumer",watching trainwreck time girl hilarious love amy schumer trainwreck johncena amyschumer
amy schumer,1,"Watching 'Inside Amy Schumer' for the 1st time. She's funny, sassy, smart, beautiful...&amp; sleeps with a teddy bear in one sketch. I'm hooked.",watching 'inside amy schumer' time she funny sassy smart beautiful amp sleep teddy bear one sketch i'm hooked
amy schumer,1,Watching Amy Schumer for the 1st time...so funny! I must have been living under a rock or something,watching amy schumer time funny must living rock something
amy schumer,1,Watching Amy Schumer: Live at the Apollo makes me so excited for Sunday when @KentStateUSG brings @amyschumer,watching amy schumer live apollo make excited sunday brings
amy schumer,1,"Watching The Pogues's ""Fairytale of NY"" for the 9th time today and is it just me or does Kirsty MacColl look kinda like Amy Schumer?",watching the pogues fairytale time today kirsty maccoll look kinda like amy schumer
amy schumer,1,Well kid's it's Friday. So rejoice. Another week is done. The Hell with trump I'm voting for Amy Schumer.. White house bound   @amyschumer,well kid friday rejoice another week done the hell trump i'm voting amy schumer white house bound
amy schumer,1,"When it comes to body empowerment and feeling comfortable in your own skin, Amy Schumer is the role model we look up to. On Thursday",when come body empowerment feeling comfortable skin amy schumer role model look thursday
amy schumer,1,Who was the best 'Saturday Night Live' host? Amy Schumer. 50% of voters agree with me. https://t.co/EeDuFef6Tf,who best 'saturday night live' host amy schumer voter agree
amy schumer,1,Who went to the first Amy Schumer show on Saturday? Anyone who would be willing to talk to me about it? https://t.co/ChD4hDvYBf,who went first amy schumer show saturday anyone would willing talk
amy schumer,1,"Will Smith, Amy Schumer and Carey Mulligan were among those honoured Sunday at the Hollywood Film Awards, with... https://t.co/oyAfpoEb1c",will smith amy schumer carey mulligan among honoured sunday hollywood film awards
amy schumer,1,"in them to do it.  Amy Schumer in EW, October @amyschumer is a fucking rock star &amp; I love her &amp; Jesus F'ing Christ we need more like this",amy schumer october fucking rock star amp love amp jesus f'ing christ need like
amy schumer,1,just another reason to love Amy Schumer and here's a piece on the calendar.. https://t.co/hGZ4uQ7JaF https://t.co/sHh8rkAfLo,another reason love amy schumer here piece calendar
ant-man,0,"More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its... http://t.co/f1ZCRHP5PH",more meta textually ant man may worst movie marvel universe gender role
ant-man,0,ANT-MAN was the 1st time I didn't stay for a Marvel film's post credits scene. The film was just one big teaser. Didn't need to see another.,ant man time stay marvel film post credit scene the film one big teaser did not need see another
ant-man,0,As ridiculous as Ant-Man may have looked it was actually pretty damn good #bigfan,ridiculous ant man may looked actually pretty damn good bigfan
ant-man,0,"More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its... http://t.co/OrBmTSFmVu",more meta textually ant man may worst movie marvel universe gender role
ant-man,0,"PODGODZ 165: Podgodz 165 Recorded 28 July 2015 I saw Ant-Man, I should not have. Midroll sells to, I want to s... http://t.co/dSsOjPvs7K",podgodz podgodz recorded july saw ant man not midroll sell want
ant-man,0,Reason why Ant-Man may have 'struggled' vs. other Marvel? My parents assumed it was a parody.,reason ant man may  marvel parent assumed parody
ant-man,0,"Sorry gang, 2nd Act of Ant-Man just kills my buzz. SO BORING and the writing is REALLY bad. I'm hoping this stuff wasn't in Wright's script.",sorry gang act ant man kill buzz boring writing really bad i'm hoping stuff wright script
ant-man,0,The only reason I'm watching Ant-Man is cause of 5$ Tuesday this is definitely something you wait to watch at home,the reason i'm watching ant man cause tuesday definitely something wait watch home
ant-man,1,@micohalili: Can't spell Star Hotshots without the word SHORT. Go Ant-Man!!!  https://t.co/7Onfnd9sLs,ca not spell star hotshots without word short ant man
ant-man,1,"#SmartNCAA: It's another 'Yes para sa tres' for the ""Ant-man"" Mark Cruz! Letran stil on top, 72-53 with 1:53 remaining in the 4th!",smartncaa it another 'yes para tres' ant man mark cruz letran stil top remaining
ant-man,1,"#SmartNCAA: It's another 'Yes para sa tres' for the ""Ant-man"" Mark Cruz! Letran still on top, 72-53 with 1:53 remaining in the 4th!",smartncaa it another 'yes para tres' ant man mark cruz letran still top remaining
ant-man,1,"// -- cinema this Saturday. I would love to see Ant-Man, but he's not into Marvel like I am, so I believe I'm gonna have to give it a miss.",cinema saturday would love see ant man he not marvel like believe i'm gonna give miss
ant-man,1,"// So, I thought Ant-Man was out of the question for the cinema Saturday but my boyfriend said the films he's seen are 'awesome' and that -",thought ant man question cinema saturday boyfriend said film he seen 'awesome'
ant-man,1,"3rd time. Antman with friends (@ Rogers 18 Theater for Ant-Man in Rogers, MN) https://t.co/c3bZbmDx40",time antman friend rogers theater ant man rogers
ant-man,1,5 Days off now! Bit of golf on the agenda and a few other bits. Looking forward to watching @Marvel's Ant-Man on Thursday too!,days bit golf agenda bit looking forward watching ant man thursday
ant-man,1,@2Hopesdestiny I've got Mon. off work &amp; I'm going to see Ant-Man movie in theaters. Want to see it in 3D.,i've got mon work amp i'm going see ant man movie theater want see
